Mod,Plot,Type,Distance,Side,UniqueID,Altitude,Decl1,Decl2,Decl3,Decl4,Aspecto,Prof1,Prof2,Prof3,Prof4,Rocha1,Rocha2,Rocha3,Rocha4,Solo1,Solo2,Solo3,Solo4,Biom1,Biom2,Biom3,Biom4,Serra1,Serra2,Serra3,Serra4,esp_serra1,esp_serra2,esp_serra3,esp_serra4,grimpa1,grimpa2,grimpa3,grimpa4,hmax,dossel,agua,Gado,Veg,Fogo,tipo.veg,obs,obs2,data,Biomass_mean,Serra_mean,Species_richness
1,M01T04,Terrestre,75,M,TN3500_75_M,1592.0,9.0,12.0,19.0,20.0,208.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,70.0,40.0,30.0,40.0,25.0,60.0,68.0,58.0,2.4,2.2,2.0,2.6,0.0,0.0,0.0,0.0,9.0,24.39447917,100.0,1.0,,,FOM,,,2/20/2020,45.0,52.75,9.2
1,M01T04,Terrestre,125,M,TN3500_125_M,1592.0,26.0,10.0,2.0,17.0,273.0,35.0,20.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,2.0,90.0,95.0,98.0,98.0,5.0,11.0,6.1,3.0,15.0,20.0,25.0,25.0,12.0,11.511875,100.0,1.0,,,FOM,,,2/20/2020,4.75,95.25,25.1
1,M01T04,Terrestre,175,M,TN3500_175_M,1592.0,23.0,23.0,20.0,30.0,275.0,51.0,20.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,98.0,100.0,100.0,95.0,6.5,5.0,4.0,6.0,0.0,0.0,0.0,0.0,8.0,28.87197917,100.0,1.0,,,FOM,,,2/20/2020,1.75,98.25,21.5
1,M01T04,Terrestre,225,M,TN3500_225_M,1592.0,10.0,8.0,10.0,23.0,240.0,40.0,51.0,40.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0,95.0,95.0,90.0,90.0,3.4,4.4,4.2,3.5,50.0,60.0,20.0,25.0,11.0,10.569375,100.0,1.0,,,FOM,,,2/20/2020,7.5,92.5,15.5
1,M01T04,Terrestre,25,J,TN3500_25_J,1592.0,18.0,13.5,28.0,22.0,190.0,11.0,11.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,9.0,15.0,95.0,97.0,91.0,85.0,2.0,1.6,1.0,2.5,0.0,0.0,0.0,0.0,10.0,16.93135417,100.0,1.0,,,FOM,,,11/13/2020,8.0,92.0,7.1
1,M01T04,Terrestre,75,J,TN3500_75_J,1592.0,12.8,12.8,12.8,12.8,250.0,51.0,40.0,41.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,94.0,99.0,99.0,98.0,1.5,4.2,5.5,3.0,0.0,0.0,5.0,2.0,10.0,17.11458333,100.0,1.0,,,FOM,,,11/13/2020,2.5,97.5,14.2
1,M01T04,Terrestre,125,J,TN3500_125_J,1592.0,14.0,15.0,20.0,8.0,240.0,40.0,45.0,40.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,99.0,97.0,97.0,98.0,2.5,4.6,3.0,5.0,5.0,3.0,40.0,8.0,16.0,10.2959375,100.0,1.0,,,FOM,,,11/13/2020,2.25,97.75,15.1
1,M01T04,Terrestre,175,J,TN3500_175_J,1592.0,14.0,15.2,15.0,16.0,260.0,40.0,45.0,40.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,5.0,2.0,95.0,92.0,95.0,98.0,2.0,1.0,2.5,3.0,8.0,20.0,20.0,20.0,17.0,13.65322917,100.0,1.0,,,FOM,,,11/13/2020,5.0,95.0,8.5
1,M01T04,Terrestre,225,J,TN3500_225_J,1592.0,14.0,10.0,8.8,13.4,270.0,40.0,40.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,1.0,95.0,92.0,99.0,99.0,2.5,2.0,2.5,4.5,0.0,0.0,0.0,0.0,11.0,18.57239583,100.0,1.0,,,FOM,,,11/13/2020,3.75,96.25,11.5
1,M01T04,Terrestre,25,M,TN3500_25_M,1592.0,21.0,16.8,24.0,18.0,200.0,18.0,25.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,5.0,5.0,94.0,90.0,95.0,95.0,2.0,3.0,2.0,2.5,0.0,0.0,0.0,0.0,10.0,30.4171875,100.0,1.0,,,FOM,,,11/13/2020,6.5,93.5,9.5
1,M01T04,Terrestre,75,M,TN3500_75_M,1592.0,12.0,12.0,12.0,12.0,210.0,18.0,51.0,51.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,4.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,11.0,24.39447917,100.0,1.0,,,FOM,,,11/13/2020,0.0,100.0,19.0
1,M01T04,Terrestre,125,M,TN3500_125_M,1592.0,7.0,6.0,16.0,19.0,280.0,30.0,20.0,31.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,5.0,8.5,8.0,5.0,70.0,60.0,80.0,8.0,15.0,11.511875,100.0,1.0,,,FOM,,,11/13/2020,0.0,100.0,26.5
1,M01T04,Terrestre,175,M,TN3500_175_M,1592.0,12.0,18.0,16.3,11.4,255.0,16.0,23.0,29.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,5.1,4.1,6.0,4.5,0.0,0.0,0.0,0.0,11.0,28.87197917,100.0,1.0,,,FOM,,,11/13/2020,0.0,100.0,19.7
